FECHA,IMPORTE,DIA,FECHA
2016-10-31,1633.95,31,2016-10-31
2016-11-02,1533.02,2,2016-11-02
2016-12-31,1640.7,31,2016-12-31
2017-01-02,1640.7,2,2017-01-02
2017-02-28,1640.7,28,2017-02-28
2017-03-31,1293.45,31,2017-03-31
2017-05-31,2178.64,31,2017-05-31
2017-06-02,1642.52,2,2017-06-02
2017-07-31,1632.61,31,2017-07-31
2017-08-02,1947.61,2,2017-08-02
2017-08-31,3796.03,31,2017-08-31
2017-10-31,2099.33,31,2017-10-31
2017-11-02,1812.12,2,2017-11-02
2017-12-31,1630.93,31,2017-12-31
2018-01-02,1678.79,2,2018-01-02
2018-02-28,2451.77,28,2018-02-28
2018-03-31,3964.43,31,2018-03-31
2018-05-31,1799.26,31,2018-05-31
2018-06-02,1799.26,2,2018-06-02
2018-07-31,1789.39,31,2018-07-31
2018-08-02,1799.26,2,2018-08-02
2018-08-31,1789.39,31,2018-08-31
2018-10-31,2515.38,31,2018-10-31
2018-11-02,1789.39,2,2018-11-02
2018-12-31,1789.39,31,2018-12-31
2019-01-02,2382.94,2,2019-01-02
2019-02-28,1675.77,28,2019-02-28
2019-03-31,1675.77,31,2019-03-31
2019-05-31,3456.76,31,2019-05-31
2019-06-02,1675.77,2,2019-06-02
2019-08-02,1675.77,2,2019-08-02
2019-10-31,1675.77,31,2019-10-31
2019-12-31,1600.0,31,2019-12-31
2020-01-02,1675.77,2,2020-01-02
2020-05-31,2004.95,31,2020-05-31
2020-07-31,2031.55,31,2020-07-31
