FECHA,IMPORTE,DIA,FECHA
2016-09-05,1533.02,5,2016-09-05
2016-10-04,1633.95,4,2016-10-04
2016-11-02,1640.7,2,2016-11-02
2016-12-07,1640.7,7,2016-12-07
2016-12-21,1633.41,21,2016-12-21
2016-12-28,1640.7,28,2016-12-28
2017-02-02,1640.7,2,2017-02-02
2017-03-02,1293.45,2,2017-03-02
2017-04-03,1642.52,3,2017-04-03
2017-05-02,2178.64,2,2017-05-02
2017-06-02,1947.61,2,2017-06-02
2017-07-03,1632.61,3,2017-07-03
2017-08-03,3796.03,3,2017-08-03
2017-09-01,1812.12,1,2017-09-01
2017-10-03,2099.33,3,2017-10-03
2017-11-06,1678.79,6,2017-11-06
2017-12-01,1630.93,1,2017-12-01
2018-02-01,2451.77,1,2018-02-01
2018-03-05,3964.43,5,2018-03-05
2018-04-04,1799.26,4,2018-04-04
2018-05-04,1799.26,4,2018-05-04
2018-06-01,1799.26,1,2018-06-01
2018-07-03,1789.39,3,2018-07-03
2018-07-26,1882.53,26,2018-07-26
2018-08-01,1789.39,1,2018-08-01
2018-09-03,1789.39,3,2018-09-03
2018-10-02,2515.38,2,2018-10-02
2018-11-02,2382.94,2,2018-11-02
2018-12-04,1789.39,4,2018-12-04
2018-12-21,1882.53,21,2018-12-21
2019-02-04,1675.77,4,2019-02-04
2019-03-04,1675.77,4,2019-03-04
2019-04-03,1675.77,3,2019-04-03
2019-04-09,1500.0,9,2019-04-09
2019-05-03,3456.76,3,2019-05-03
2019-06-04,1675.77,4,2019-06-04
2019-10-02,1675.77,2,2019-10-02
2019-11-06,1675.77,6,2019-11-06
2019-12-04,1600.0,4,2019-12-04
2019-12-20,1758.22,20,2019-12-20
2020-05-05,2004.95,5,2020-05-05
2020-07-06,2031.55,6,2020-07-06
2020-07-15,1888.97,15,2020-07-15
