DATE,BALANCE
2015-01-01,465308.19
2015-01-02,465308.19
2015-01-03,460326.72000000003
2015-01-04,460326.72000000003
2015-01-05,460326.72000000003
2015-01-06,460326.72000000003
2015-01-07,460326.72000000003
2015-01-08,460326.72000000003
2015-01-09,460326.72000000003
2015-01-10,460326.72000000003
2015-01-11,460326.72000000003
2015-01-12,460326.72000000003
2015-01-13,458648.53
2015-01-14,458288.76
2015-01-15,450788.76
2015-01-16,450551.16
2015-01-17,449700.37
2015-01-18,449700.37
2015-01-19,449700.37
2015-01-20,449700.37
2015-01-21,449700.37
2015-01-22,449700.37
2015-01-23,450989.54
2015-01-24,453011.43
2015-01-25,453011.43
2015-01-26,453011.43
2015-01-27,453011.43
2015-01-28,452878.68
2015-01-29,445220.83
2015-01-30,445220.83
2015-01-31,445220.83
2015-02-01,445220.83
2015-02-02,445220.83
2015-02-03,445220.83
2015-02-04,445064.52
2015-02-05,445060.97
2015-02-06,443042.47
2015-02-07,443042.47
2015-02-08,443042.47
2015-02-09,443042.47
2015-02-10,439641.02
2015-02-11,439641.02
2015-02-12,438010.99
2015-02-13,437768.83
2015-02-14,437389.06
2015-02-15,437389.06
2015-02-16,437389.06
2015-02-17,436731.77
2015-02-18,435598.32
2015-02-19,436366.0
2015-02-20,436366.0
2015-02-21,436366.0
2015-02-22,436366.0
2015-02-23,436366.0
2015-02-24,436346.0
2015-02-25,442703.53
2015-02-26,442703.53
2015-02-27,442703.53
2015-02-28,442572.18
2015-03-01,442572.18
2015-03-02,442572.18
2015-03-03,434914.06
2015-03-04,434914.06
2015-03-05,434914.06
2015-03-06,434914.06
2015-03-07,434842.06
2015-03-08,434842.06
2015-03-09,434842.06
2015-03-10,437872.06
2015-03-11,437872.06
2015-03-12,436415.53
2015-03-13,436173.87
2015-03-14,438234.15
2015-03-15,438234.15
2015-03-16,438234.15
2015-03-17,431874.41000000003
2015-03-18,431874.41000000003
2015-03-19,431874.41000000003
2015-03-20,431874.41000000003
2015-03-21,431874.41000000003
2015-03-22,431874.41000000003
2015-03-23,431874.41000000003
2015-03-24,431854.41000000003
2015-03-25,436708.78
2015-03-26,436291.53
2015-03-27,436465.53
2015-03-28,436465.53
2015-03-29,436465.53
2015-03-30,436465.53
2015-03-31,436465.53
2015-04-01,432384.18
2015-04-02,426781.83
2015-04-03,426781.83
2015-04-04,426781.83
2015-04-05,426781.83
2015-04-06,426781.83
2015-04-07,426781.83
2015-04-08,427033.94
2015-04-09,426530.34
2015-04-10,426530.34
2015-04-11,426530.34
2015-04-12,426530.34
2015-04-13,426530.34
2015-04-14,424492.38
2015-04-15,424492.38
2015-04-16,423973.10000000003
2015-04-17,420437.85000000003
2015-04-18,420437.85000000003
2015-04-19,420437.85000000003
2015-04-20,420437.85000000003
2015-04-21,420330.53
2015-04-22,420330.53
2015-04-23,420294.13
2015-04-24,425123.42000000004
2015-04-25,425115.33
2015-04-26,425115.33
2015-04-27,425115.33
2015-04-28,425115.33
2015-04-29,426588.43
2015-04-30,426588.43
2015-05-01,426519.58
2015-05-02,426519.58
2015-05-03,426519.58
2015-05-04,426519.58
2015-05-05,422046.01
2015-05-06,422046.01
2015-05-07,421306.48000000004
2015-05-08,421306.48000000004
2015-05-09,418306.48000000004
2015-05-10,418306.48000000004
2015-05-11,418306.48000000004
2015-05-12,415831.10000000003
2015-05-13,415589.44
2015-05-14,415231.41000000003
2015-05-15,415231.41000000003
2015-05-16,415097.58
2015-05-17,415097.58
2015-05-18,415097.58
2015-05-19,414240.29000000004
2015-05-20,414240.29000000004
2015-05-21,414020.29000000004
2015-05-22,414020.29000000004
2015-05-23,419971.68
2015-05-24,419971.68
2015-05-25,419971.68
2015-05-26,419971.68
2015-05-27,417272.23000000004
2015-05-28,417168.73000000004
2015-05-29,420053.74
2015-05-30,419806.39
2015-05-31,419806.39
2015-06-01,419806.39
2015-06-02,416147.45
2015-06-03,415814.18000000005
2015-06-04,416439.68000000005
2015-06-05,415707.03
2015-06-06,415326.52
2015-06-07,415326.52
2015-06-08,415326.52
2015-06-09,415326.52
2015-06-10,414201.52
2015-06-11,417176.52
2015-06-12,415576.14
2015-06-13,415333.03
2015-06-14,415333.03
2015-06-15,415333.03
2015-06-16,414974.05000000005
2015-06-17,412616.76
2015-06-18,412530.9
2015-06-19,412530.9
2015-06-20,413405.9
2015-06-21,413405.9
