DATE,BALANCE
2020-02-10,38916.479999999996
2020-02-11,38531.84
2020-02-12,38531.84
2020-02-13,37612.52
2020-02-14,69074.92
2020-02-15,69436.70999999999
2020-02-16,69436.70999999999
2020-02-17,69436.70999999999
2020-02-18,58651.61
2020-02-19,58651.61
2020-02-20,58651.61
2020-02-21,58651.61
2020-02-22,58651.61
2020-02-23,58651.61
2020-02-24,58651.61
2020-02-25,60126.72
2020-02-26,60126.72
2020-02-27,60123.07
2020-02-28,60123.07
2020-02-29,59480.3
2020-03-01,59480.3
2020-03-02,59480.3
2020-03-03,53768.55
2020-03-04,53548.55
2020-03-05,52957.55
2020-03-06,49585.14
2020-03-07,50483.14
2020-03-08,50483.14
2020-03-09,50483.14
2020-03-10,44764.88
2020-03-11,43594.88
2020-03-12,43594.88
2020-03-13,38868.8
2020-03-14,34659.97
2020-03-15,34659.97
2020-03-16,34659.97
2020-03-17,25943.75
2020-03-18,25374.6
2020-03-19,25374.6
2020-03-20,25117.760000000002
2020-03-21,25117.760000000002
2020-03-22,25117.760000000002
2020-03-23,25117.760000000002
2020-03-24,25130.03
2020-03-25,30834.34
2020-03-26,30834.34
2020-03-27,30834.34
2020-03-28,30834.34
2020-03-29,30834.34
2020-03-30,30834.34
2020-03-31,30834.34
2020-04-01,27958.88
2020-04-02,23939.670000000002
2020-04-03,23939.670000000002
2020-04-04,23745.670000000002
2020-04-05,23745.670000000002
2020-04-06,23745.670000000002
2020-04-07,23315.260000000002
2020-04-08,23058.630000000005
2020-04-09,23058.630000000005
2020-04-10,23058.630000000005
2020-04-11,23058.630000000005
2020-04-12,23058.630000000005
2020-04-13,23058.630000000005
2020-04-14,22396.15
2020-04-15,22396.15
2020-04-16,22396.15
2020-04-17,21754.620000000003
2020-04-18,20210.030000000002
2020-04-19,20210.030000000002
2020-04-20,20210.030000000002
2020-04-21,20210.030000000002
2020-04-22,20448.440000000002
2020-04-23,20448.440000000002
2020-04-24,26154.550000000003
2020-04-25,26304.550000000003
2020-04-26,26304.550000000003
2020-04-27,26304.550000000003
2020-04-28,25947.97
2020-04-29,22819.550000000003
2020-04-30,22719.550000000003
2020-05-01,20544.49
2020-05-02,20544.49
2020-05-03,20544.49
2020-05-04,20544.49
2020-05-05,17732.550000000003
2020-05-06,16908.520000000004
2020-05-07,16509.110000000004
2020-05-08,16509.110000000004
2020-05-09,16509.110000000004
2020-05-10,16509.110000000004
2020-05-11,16509.110000000004
2020-05-12,16661.610000000004
2020-05-13,16661.610000000004
2020-05-14,16751.210000000003
2020-05-15,16751.210000000003
2020-05-16,15944.930000000004
2020-05-17,15944.930000000004
2020-05-18,15944.930000000004
2020-05-19,14853.400000000005
2020-05-20,15206.410000000003
2020-05-21,14629.710000000003
2020-05-22,14629.710000000003
2020-05-23,21283.820000000003
2020-05-24,21283.820000000003
2020-05-25,21283.820000000003
2020-05-26,21078.200000000004
2020-05-27,17513.900000000005
2020-05-28,17663.900000000005
2020-05-29,17663.900000000005
2020-05-30,16619.530000000006
2020-05-31,16619.530000000006
2020-06-01,16619.530000000006
2020-06-02,15127.640000000007
2020-06-03,13845.670000000006
2020-06-04,13983.900000000005
2020-06-05,13545.990000000005
2020-06-06,13273.960000000006
2020-06-07,13273.960000000006
2020-06-08,13273.960000000006
2020-06-09,13031.010000000006
2020-06-10,12977.010000000006
2020-06-11,9977.010000000006
2020-06-12,11056.600000000006
2020-06-13,11056.600000000006
2020-06-14,11056.600000000006
2020-06-15,11056.600000000006
2020-06-16,11071.790000000005
2020-06-17,10410.960000000006
2020-06-18,10036.660000000007
2020-06-19,10036.660000000007
2020-06-20,9639.860000000008
2020-06-21,9639.860000000008
2020-06-22,9639.860000000008
2020-06-23,9497.620000000006
2020-06-24,8646.850000000006
2020-06-25,19782.140000000007
2020-06-26,19602.140000000007
2020-06-27,19747.200000000008
2020-06-28,19747.200000000008
2020-06-29,19747.200000000008
2020-06-30,12723.51000000001
2020-07-01,10357.12000000001
2020-07-02,9293.30000000001
2020-07-03,9218.30000000001
2020-07-04,9047.48000000001
2020-07-05,9047.48000000001
2020-07-06,9047.48000000001
2020-07-07,8669.57000000001
2020-07-08,7801.070000000011
2020-07-09,7743.28000000001
2020-07-10,4737.080000000009
2020-07-11,4573.330000000009
2020-07-12,4573.330000000009
2020-07-13,4573.330000000009
2020-07-14,4370.200000000012
2020-07-15,3184.0000000000146
2020-07-16,2888.680000000015
2020-07-17,1538.0200000000114
2020-07-18,1418.640000000014
2020-07-19,1418.640000000014
2020-07-20,1418.640000000014
2020-07-21,1124.0700000000143
2020-07-22,1124.0700000000143
2020-07-23,924.0700000000143
2020-07-24,7693.670000000013
2020-07-25,7833.670000000013
2020-07-26,7833.670000000013
2020-07-27,7833.670000000013
2020-07-28,9046.170000000013
2020-07-29,5846.170000000013
2020-07-30,5806.170000000013
2020-07-31,5818.670000000013
2020-08-01,4323.860000000015
2020-08-02,4323.860000000015
2020-08-03,4323.860000000015
2020-08-04,4864.390000000014
2020-08-05,4573.390000000014
2020-08-06,4149.560000000012
2020-08-07,4123.710000000014
2020-08-08,4053.7100000000137
2020-08-09,4053.7100000000137
2020-08-10,4053.7100000000137
2020-08-11,3741.2700000000114
2020-08-12,3741.2700000000114
2020-08-13,3741.2700000000114
2020-08-14,3541.2700000000114
2020-08-15,3541.2700000000114
2020-08-16,3541.2700000000114
2020-08-17,3541.2700000000114
2020-08-18,2050.6600000000108
2020-08-19,2050.6600000000108
2020-08-20,2050.6600000000108
2020-08-21,2096.6600000000108
2020-08-22,2096.6600000000108
2020-08-23,2096.6600000000108
2020-08-24,2096.6600000000108
2020-08-25,7794.80000000001
2020-08-26,8791.32000000001
2020-08-27,5781.320000000007
2020-08-28,5781.320000000007
2020-08-29,5781.320000000007
2020-08-30,5781.320000000007
2020-08-31,5781.320000000007
2020-09-01,3276.530000000006
2020-09-02,2751.7500000000073
2020-09-03,2646.7500000000073
2020-09-04,2448.1700000000055
2020-09-05,2455.8700000000026
2020-09-06,2455.8700000000026
2020-09-07,2455.8700000000026
2020-09-08,2525.8700000000026
2020-09-09,2519.8700000000026
2020-09-10,1389.8700000000026
2020-09-11,1389.8700000000026
2020-09-12,2495.8800000000047
2020-09-13,2495.8800000000047
2020-09-14,2495.8800000000047
2020-09-15,3725.070000000007
2020-09-16,3101.1800000000076
2020-09-17,2459.6500000000087
2020-09-18,2181.6900000000096
2020-09-19,2494.0100000000093
2020-09-20,2494.0100000000093
2020-09-21,2494.0100000000093
2020-09-22,2294.0100000000093
2020-09-23,2189.130000000012
2020-09-24,1814.2700000000114
2020-09-25,7233.270000000011
2020-09-26,7111.270000000011
2020-09-27,7111.270000000011
2020-09-28,7111.270000000011
2020-09-29,7322.2300000000105
2020-09-30,4322.2300000000105
2020-10-01,2981.890000000014
2020-10-02,1512.600000000013
2020-10-03,1437.600000000013
2020-10-04,1437.600000000013
2020-10-05,1437.600000000013
2020-10-06,785.8000000000102
2020-10-07,459.8000000000102
2020-10-08,459.8000000000102
2020-10-09,461.8000000000102
2020-10-10,1090.8000000000102
2020-10-11,1090.8000000000102
2020-10-12,1090.8000000000102
2020-10-13,1090.8000000000102
2020-10-14,1263.1800000000076
2020-10-15,1115.6800000000076
2020-10-16,940.5900000000111
2020-10-17,964.0600000000122
2020-10-18,964.0600000000122
2020-10-19,964.0600000000122
2020-10-20,1083.380000000012
2020-10-21,1097.8100000000122
2020-10-22,747.8100000000122
2020-10-23,6372.390000000014
2020-10-24,3903.390000000014
2020-10-25,3903.390000000014
2020-10-26,3903.390000000014
2020-10-27,3368.7900000000154
2020-10-28,3406.4900000000125
2020-10-29,3424.1900000000096
2020-10-30,3459.1900000000096
2020-10-31,3344.090000000011
2020-11-01,3344.090000000011
2020-11-02,3344.090000000011
2020-11-03,1106.830000000009
2020-11-04,992.8800000000119
2020-11-05,614.8800000000119
2020-11-06,289.82000000001426
2020-11-07,326.80000000001746
2020-11-08,326.80000000001746
2020-11-09,326.80000000001746
2020-11-10,401.80000000001746
2020-11-11,3529.4800000000178
2020-11-12,3299.4800000000178
2020-11-13,3477.4800000000178
2020-11-14,3768.2500000000146
2020-11-15,3768.2500000000146
2020-11-16,3768.2500000000146
2020-11-17,4304.4900000000125
2020-11-18,3751.380000000012
2020-11-19,3728.9400000000096
2020-11-20,3829.9400000000096
2020-11-21,4740.160000000011
2020-11-22,4740.160000000011
2020-11-23,4740.160000000011
2020-11-24,4154.790000000008
2020-11-25,8396.51000000001
2020-11-26,7844.070000000011
2020-11-27,5585.770000000011
2020-11-28,5603.770000000011
2020-11-29,5603.770000000011
2020-11-30,5603.770000000011
2020-12-01,3121.4100000000108
2020-12-02,2129.630000000012
2020-12-03,2028.5400000000154
2020-12-04,1490.6800000000148
2020-12-05,701.8800000000119
2020-12-06,701.8800000000119
2020-12-07,701.8800000000119
2020-12-08,1513.600000000013
2020-12-09,1513.600000000013
2020-12-10,1834.400000000016
2020-12-11,1834.400000000016
2020-12-12,1844.400000000016
2020-12-13,1844.400000000016
2020-12-14,1844.400000000016
2020-12-15,1623.400000000016
2020-12-16,1623.400000000016
2020-12-17,981.8700000000172
2020-12-18,374.650000000016
2020-12-19,1349.650000000016
2020-12-20,1349.650000000016
2020-12-21,1349.650000000016
2020-12-22,9519.480000000018
2020-12-23,9372.600000000017
2020-12-24,9464.600000000017
2020-12-25,9365.080000000016
2020-12-26,9365.080000000016
2020-12-27,9365.080000000016
2020-12-28,9365.080000000016
2020-12-29,9065.080000000016
2020-12-30,9011.000000000015
2020-12-31,8958.240000000016
2021-01-01,6194.680000000015
2021-01-02,6194.680000000015
2021-01-03,6194.680000000015
2021-01-04,6194.680000000015
2021-01-05,3173.0100000000166
2021-01-06,3469.140000000014
2021-01-07,3469.140000000014
2021-01-08,3344.140000000014
2021-01-09,3344.140000000014
2021-01-10,3344.140000000014
2021-01-11,3344.140000000014
2021-01-12,3344.140000000014
2021-01-13,2893.2800000000134
2021-01-14,2893.2800000000134
2021-01-15,2893.2800000000134
2021-01-16,1823.4400000000169
2021-01-17,1823.4400000000169
2021-01-18,1823.4400000000169
2021-01-19,1099.910000000018
2021-01-20,1099.910000000018
2021-01-21,1099.910000000018
2021-01-22,1099.910000000018
2021-01-23,3691.7300000000178
2021-01-24,3691.7300000000178
2021-01-25,3691.7300000000178
2021-01-26,3309.870000000017
2021-01-27,3296.2700000000186
2021-01-28,2846.2700000000186
2021-01-29,2846.2700000000186
2021-01-30,1489.8400000000183
2021-01-31,1489.8400000000183
2021-02-01,1489.8400000000183
2021-02-02,2600.7300000000178
2021-02-03,2091.5600000000195
2021-02-04,1972.5600000000195
2021-02-05,1407.450000000019
2021-02-06,956.5900000000183
2021-02-07,956.5900000000183
2021-02-08,956.5900000000183
2021-02-09,650.5900000000183
