DATE,BALANCE
2015-01-01,236563.89
2015-01-02,236563.89
2015-01-03,231582.42
2015-01-04,231582.42
2015-01-05,231582.42
2015-01-06,194681.59000000003
2015-01-07,194681.59000000003
2015-01-08,154482.16000000003
2015-01-09,154482.16000000003
2015-01-10,123191.77000000003
2015-01-11,123191.77000000003
2015-01-12,123191.77000000003
2015-01-13,121513.58000000003
2015-01-14,121153.81000000003
2015-01-15,113653.81000000003
2015-01-16,113416.21000000002
2015-01-17,112565.42000000003
2015-01-18,112565.42000000003
2015-01-19,112565.42000000003
2015-01-20,112565.42000000003
2015-01-21,112565.42000000003
2015-01-22,112565.42000000003
2015-01-23,113854.59000000003
2015-01-24,115876.48000000003
2015-01-25,115876.48000000003
2015-01-26,115876.48000000003
2015-01-27,115876.48000000003
2015-01-28,115743.73000000003
2015-01-29,108085.88000000002
2015-01-30,94563.03000000001
2015-01-31,94563.03000000001
2015-02-01,94563.03000000001
2015-02-02,94563.03000000001
2015-02-03,80159.22000000002
2015-02-04,80002.91000000002
2015-02-05,79999.36000000002
2015-02-06,77980.86000000002
2015-02-07,95529.86000000002
2015-02-08,95529.86000000002
2015-02-09,95529.86000000002
2015-02-10,92128.41000000002
2015-02-11,92128.41000000002
2015-02-12,90498.38000000002
2015-02-13,90256.22000000002
2015-02-14,89876.45000000001
2015-02-15,89876.45000000001
2015-02-16,89876.45000000001
2015-02-17,89219.16000000002
2015-02-18,88085.71000000002
2015-02-19,88853.39000000001
2015-02-20,88853.39000000001
2015-02-21,88853.39000000001
2015-02-22,88853.39000000001
2015-02-23,88853.39000000001
2015-02-24,88833.39000000001
2015-02-25,95190.92000000003
2015-02-26,83014.70000000003
2015-02-27,83014.70000000003
2015-02-28,82883.35000000002
2015-03-01,82883.35000000002
2015-03-02,82883.35000000002
2015-03-03,75225.23000000003
2015-03-04,75225.23000000003
2015-03-05,75225.23000000003
2015-03-06,75225.23000000003
2015-03-07,75153.23000000003
2015-03-08,75153.23000000003
2015-03-09,75153.23000000003
2015-03-10,78183.23000000003
2015-03-11,78183.23000000003
2015-03-12,76726.70000000003
2015-03-13,76485.04000000002
2015-03-14,78545.32000000002
2015-03-15,78545.32000000002
2015-03-16,78545.32000000002
2015-03-17,72185.58000000002
2015-03-18,60648.140000000014
2015-03-19,60648.140000000014
2015-03-20,60648.140000000014
2015-03-21,60648.140000000014
2015-03-22,60648.140000000014
2015-03-23,60648.140000000014
2015-03-24,60628.140000000014
2015-03-25,65482.510000000024
2015-03-26,65065.260000000024
2015-03-27,65239.260000000024
2015-03-28,109834.31000000003
2015-03-29,109834.31000000003
2015-03-30,109834.31000000003
2015-03-31,109834.31000000003
2015-04-01,105752.96000000002
2015-04-02,100150.61000000002
2015-04-03,100150.61000000002
2015-04-04,100150.61000000002
2015-04-05,100150.61000000002
2015-04-06,100150.61000000002
2015-04-07,100150.61000000002
2015-04-08,100402.72000000002
2015-04-09,99899.12000000001
2015-04-10,99899.12000000001
2015-04-11,99899.12000000001
2015-04-12,99899.12000000001
2015-04-13,99899.12000000001
2015-04-14,97861.16
2015-04-15,97861.16
2015-04-16,97341.88
2015-04-17,93806.63
2015-04-18,60591.44
2015-04-19,60591.44
2015-04-20,60591.44
2015-04-21,60484.119999999995
2015-04-22,60484.119999999995
2015-04-23,60447.72
2015-04-24,65277.009999999995
2015-04-25,65268.92
2015-04-26,65268.92
2015-04-27,65268.92
2015-04-28,65268.92
2015-04-29,66742.02
2015-04-30,66742.02
2015-05-01,66673.17
2015-05-02,66673.17
2015-05-03,66673.17
2015-05-04,66673.17
2015-05-05,62199.600000000006
2015-05-06,62199.600000000006
2015-05-07,61460.07000000001
2015-05-08,61460.07000000001
2015-05-09,58460.07000000001
2015-05-10,58460.07000000001
2015-05-11,58460.07000000001
2015-05-12,55984.69
2015-05-13,55743.03
2015-05-14,55385.0
2015-05-15,55385.0
2015-05-16,55251.17
2015-05-17,55251.17
2015-05-18,55251.17
2015-05-19,54393.880000000005
2015-05-20,54393.880000000005
2015-05-21,54173.880000000005
