,yhat
2020-02-16,57842.55070658383
2020-02-23,53690.47777323217
2020-03-01,49538.40483122789
2020-03-08,45386.33189666481
2020-03-15,41234.25897284528
2020-03-22,37082.18607338017
2020-03-29,32987.89497692472
2020-04-05,29149.617957713166
2020-04-12,25924.57147654834
2020-04-19,23516.216982959068
2020-04-26,21725.836368919892
2020-05-03,20382.97515287035
2020-05-10,19118.059632988432
2020-05-17,17864.324075855966
2020-05-24,16622.594340416712
2020-05-31,15394.91859341707
2020-06-07,14179.453254592869
2020-06-14,12964.037264612534
2020-06-21,11748.819132179113
2020-06-28,10533.775716557999
2020-07-05,9318.794988855323
2020-07-12,8107.675690789062
2020-07-19,6932.621835787097
2020-07-26,6029.072752015503
2020-08-02,5329.854075155986
2020-08-09,4795.467750813733
2020-08-16,4421.717068708664
2020-08-23,4119.417387030841
2020-08-30,3823.0800019370718
2020-09-06,3526.745165880768
2020-09-13,3230.4113317346596
2020-09-20,2934.0786594595043
2020-09-27,2637.746017048629
2020-10-04,2341.413377127485
2020-10-11,2045.0807372065387
2020-10-18,1748.7480972852547
2020-10-25,1452.415457363149
2020-11-01,1156.0828174424519
2020-11-08,859.7501775206
2020-11-15,563.4175375996604
2020-11-22,267.0848976779355
2020-11-29,-29.24774224293721
2020-12-06,-325.58038216534527
2020-12-13,-621.913022086493
2020-12-20,-918.2456620076073
2020-12-27,-1214.5783019288695
2021-01-03,-1510.9109418509172
2021-01-10,-1807.243581771709
2021-01-17,-2103.5762216930552
2021-01-24,-2399.9088616148847
2021-01-31,-2696.2415015362067
2021-02-07,-2992.5741414572544
2021-02-14,-3222.0753155706607
