,BALANCE
2020-02-16,51648.71714285713
2020-02-23,60192.33857142856
2020-03-01,59730.25571428571
2020-03-08,52900.91000000001
2020-03-15,41518.07428571429
2020-03-22,26672.314285714292
2020-03-29,29202.784285714286
2020-04-05,26428.32
2020-04-12,23193.440000000002
2020-04-19,21774.537142857145
2020-04-26,22868.655714285716
2020-05-03,22775.012857142858
2020-05-10,17317.428571428572
2020-05-17,16460.65857142858
2020-05-24,16833.11428571429
2020-05-31,18348.968571428577
2020-06-07,14238.66428571429
2020-06-14,11775.541428571434
2020-06-21,10270.341428571435
2020-06-28,15237.572857142866
2020-07-05,11347.77000000001
2020-07-12,6735.0200000000095
2020-07-19,2770.2157142857272
2020-07-26,3993.1228571428705
2020-08-02,6142.652857142871
2020-08-09,4306.047142857156
2020-08-16,3700.190000000012
2020-08-23,2283.3185714285823
2020-08-30,5972.580000000008
2020-09-06,3116.608571428577
2020-09-13,2181.8728571428605
2020-09-20,2707.355714285722
2020-09-27,4321.032857142868
2020-10-04,3732.2028571428696
2020-10-11,826.6285714285821
2020-10-18,1061.3100000000102
2020-10-25,2581.7471428571557
2020-11-01,3464.3185714285833
2020-11-08,1000.3000000000133
2020-11-15,2653.0771428571597
2020-11-22,4123.33142857144
2020-11-29,5989.834285714297
2020-12-06,2253.9700000000125
2020-12-13,1583.8114285714432
2020-12-20,1306.717142857159
2020-12-27,8257.36714285716
2021-01-03,7854.777142857159
2021-01-10,3762.627142857157
2021-01-17,2716.428571428586
2021-01-24,1943.7914285714464
2021-01-31,2710.0128571428754
2021-02-07,1639.3314285714473
2021-02-14,803.5900000000183
