TRANSACTION_DATE,AMOUNT
2020-02-10,-384.64
2020-02-11,0.0
2020-02-12,-919.3199999999999
2020-02-13,31462.4
2020-02-14,361.79
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,-10785.1
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,1475.1099999999997
2020-02-25,0.0
2020-02-26,-3.65
2020-02-27,0.0
2020-02-28,-642.77
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,-5711.75
2020-03-03,-220.0
2020-03-04,-591.0
2020-03-05,-3372.41
2020-03-06,898.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,-5718.26
2020-03-10,-1170.0
2020-03-11,0.0
2020-03-12,-4726.08
2020-03-13,-4208.83
2020-03-14,0.0
2020-03-15,0.0
2020-03-16,-8716.22
2020-03-17,-569.15
2020-03-18,0.0
2020-03-19,-256.84
2020-03-20,0.0
2020-03-21,0.0
2020-03-22,0.0
2020-03-23,12.27000000000001
2020-03-24,5704.31
2020-03-25,0.0
2020-03-26,0.0
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,-2875.46
2020-04-01,-4019.21
2020-04-02,0.0
2020-04-03,-194.0
2020-04-04,0.0
2020-04-05,0.0
2020-04-06,-430.41
2020-04-07,-256.63
2020-04-08,0.0
2020-04-09,0.0
2020-04-10,0.0
2020-04-11,0.0
2020-04-12,0.0
2020-04-13,-662.48
2020-04-14,0.0
2020-04-15,0.0
2020-04-16,-641.53
2020-04-17,-1544.59
2020-04-18,0.0
2020-04-19,0.0
2020-04-20,0.0
2020-04-21,238.41
2020-04-22,0.0
2020-04-23,5706.11
2020-04-24,150.0
2020-04-25,0.0
2020-04-26,0.0
2020-04-27,-356.58000000000004
2020-04-28,-3128.42
2020-04-29,-100.0
2020-04-30,-2175.06
2020-05-01,0.0
2020-05-02,0.0
2020-05-03,0.0
2020-05-04,-2811.94
2020-05-05,-824.03
2020-05-06,-399.41
2020-05-07,0.0
2020-05-08,0.0
2020-05-09,0.0
2020-05-10,0.0
2020-05-11,152.5
2020-05-12,0.0
2020-05-13,89.6
2020-05-14,0.0
2020-05-15,-806.28
2020-05-16,0.0
2020-05-17,0.0
2020-05-18,-1091.53
2020-05-19,353.01
2020-05-20,-576.7
2020-05-21,0.0
2020-05-22,6654.11
2020-05-23,0.0
2020-05-24,0.0
2020-05-25,-205.62
2020-05-26,-3564.3
2020-05-27,150.0
2020-05-28,0.0
2020-05-29,-1044.37
2020-05-30,0.0
2020-05-31,0.0
2020-06-01,-1491.8899999999999
2020-06-02,-1281.97
2020-06-03,138.23000000000002
2020-06-04,-437.91
2020-06-05,-272.03
2020-06-06,0.0
2020-06-07,0.0
2020-06-08,-242.95
2020-06-09,-54.0
2020-06-10,-3000.0
2020-06-11,1079.59
2020-06-12,0.0
2020-06-13,0.0
2020-06-14,0.0
2020-06-15,15.189999999999998
2020-06-16,-660.8299999999999
2020-06-17,-374.30000000000007
2020-06-18,0.0
2020-06-19,-396.8
2020-06-20,0.0
2020-06-21,0.0
2020-06-22,-142.24
2020-06-23,-850.77
2020-06-24,11135.289999999999
2020-06-25,-180.0
2020-06-26,145.06
2020-06-27,0.0
2020-06-28,0.0
2020-06-29,-7023.69
2020-06-30,-2366.3899999999994
2020-07-01,-1063.82
2020-07-02,-75.0
2020-07-03,-170.82
2020-07-04,0.0
2020-07-05,0.0
2020-07-06,-377.90999999999997
2020-07-07,-868.5
2020-07-08,-57.78999999999999
2020-07-09,-3006.2
2020-07-10,-163.75
2020-07-11,0.0
2020-07-12,0.0
2020-07-13,-203.13000000000002
2020-07-14,-1186.2
2020-07-15,-295.32
2020-07-16,-1350.6599999999999
2020-07-17,-119.38
2020-07-18,0.0
2020-07-19,0.0
2020-07-20,-294.57
2020-07-21,0.0
2020-07-22,-200.0
2020-07-23,6769.599999999999
2020-07-24,140.0
2020-07-25,0.0
2020-07-26,0.0
2020-07-27,1212.5
2020-07-28,-3200.0
2020-07-29,-40.0
2020-07-30,12.5
2020-07-31,-1494.81
2020-08-01,0.0
2020-08-02,0.0
2020-08-03,540.5300000000001
2020-08-04,-291.0
2020-08-05,-423.8299999999999
2020-08-06,-25.85
2020-08-07,-70.0
2020-08-08,0.0
2020-08-09,0.0
2020-08-10,-312.44
2020-08-11,0.0
2020-08-12,0.0
2020-08-13,-200.0
2020-08-14,0.0
2020-08-15,0.0
2020-08-16,0.0
2020-08-17,-1490.6100000000001
2020-08-18,0.0
2020-08-19,0.0
2020-08-20,46.0
2020-08-21,0.0
2020-08-22,0.0
2020-08-23,0.0
2020-08-24,5698.14
2020-08-25,996.52
2020-08-26,-3010.0
2020-08-27,0.0
2020-08-28,0.0
2020-08-29,0.0
2020-08-30,0.0
2020-08-31,-2504.79
2020-09-01,-524.78
2020-09-02,-105.0
2020-09-03,-198.57999999999998
2020-09-04,7.700000000000017
2020-09-05,0.0
2020-09-06,0.0
2020-09-07,70.0
2020-09-08,-6.0
2020-09-09,-1130.0
2020-09-10,0.0
2020-09-11,1106.01
2020-09-12,0.0
2020-09-13,0.0
2020-09-14,1229.19
2020-09-15,-623.89
2020-09-16,-641.53
2020-09-17,-277.96
2020-09-18,312.32
2020-09-19,0.0
2020-09-20,0.0
2020-09-21,-200.0
2020-09-22,-104.88
2020-09-23,-374.86
2020-09-24,5419.0
2020-09-25,-122.0
2020-09-26,0.0
2020-09-27,0.0
2020-09-28,210.95999999999998
2020-09-29,-3000.0
2020-09-30,-1340.3400000000001
2020-10-01,-1469.29
2020-10-02,-75.0
2020-10-03,0.0
2020-10-04,0.0
2020-10-05,-651.8
2020-10-06,-326.0
2020-10-07,0.0
2020-10-08,2.0
2020-10-09,629.0
2020-10-10,0.0
2020-10-11,0.0
2020-10-12,0.0
2020-10-13,172.38
2020-10-14,-147.5
2020-10-15,-175.09000000000003
2020-10-16,23.470000000000027
2020-10-17,0.0
2020-10-18,0.0
2020-10-19,119.32000000000001
2020-10-20,14.430000000000007
2020-10-21,-350.0
2020-10-22,5624.58
2020-10-23,-2469.0
2020-10-24,0.0
2020-10-25,0.0
2020-10-26,-534.5999999999999
2020-10-27,37.7
2020-10-28,17.7
2020-10-29,35.0
2020-10-30,-115.1
2020-10-31,0.0
2020-11-01,0.0
2020-11-02,-2237.2600000000007
2020-11-03,-113.94999999999999
2020-11-04,-378.0
2020-11-05,-325.06
2020-11-06,36.97999999999999
2020-11-07,0.0
2020-11-08,0.0
2020-11-09,75.0
2020-11-10,3127.68
2020-11-11,-230.0
2020-11-12,178.0
2020-11-13,290.77
2020-11-14,0.0
2020-11-15,0.0
2020-11-16,536.24
2020-11-17,-553.11
2020-11-18,-22.44
2020-11-19,101.0
2020-11-20,910.22
2020-11-21,0.0
2020-11-22,0.0
2020-11-23,-585.3699999999999
2020-11-24,4241.719999999999
2020-11-25,-552.44
2020-11-26,-2258.2999999999997
2020-11-27,18.0
2020-11-28,0.0
2020-11-29,0.0
2020-11-30,-2482.3599999999997
2020-12-01,-991.78
2020-12-02,-101.08999999999999
2020-12-03,-537.86
2020-12-04,-788.8
2020-12-05,0.0
2020-12-06,0.0
2020-12-07,811.72
2020-12-08,0.0
2020-12-09,320.8
2020-12-10,0.0
2020-12-11,10.0
2020-12-12,0.0
2020-12-13,0.0
2020-12-14,-221.0
2020-12-15,0.0
2020-12-16,-641.53
2020-12-17,-607.22
2020-12-18,975.0
2020-12-19,0.0
2020-12-20,0.0
2020-12-21,8169.83
2020-12-22,-146.88
2020-12-23,92.0
2020-12-24,-99.52
2020-12-25,0.0
2020-12-26,0.0
2020-12-27,0.0
2020-12-28,-300.0
2020-12-29,-54.08000000000001
2020-12-30,-52.76
2020-12-31,-2763.56
2021-01-01,0.0
2021-01-02,0.0
2021-01-03,0.0
2021-01-04,-3021.67
2021-01-05,296.1300000000001
2021-01-06,0.0
2021-01-07,-125.0
2021-01-08,0.0
2021-01-09,0.0
2021-01-10,0.0
2021-01-11,0.0
2021-01-12,-450.86
2021-01-13,0.0
2021-01-14,0.0
2021-01-15,-1069.8400000000001
2021-01-16,0.0
2021-01-17,0.0
2021-01-18,-723.53
2021-01-19,0.0
2021-01-20,0.0
2021-01-21,0.0
2021-01-22,2591.8199999999997
2021-01-23,0.0
2021-01-24,0.0
2021-01-25,-381.86
2021-01-26,-13.6
2021-01-27,-450.0
2021-01-28,0.0
2021-01-29,-1356.43
2021-01-30,0.0
2021-01-31,0.0
2021-02-01,1110.8900000000003
2021-02-02,-509.17
2021-02-03,-119.0
2021-02-04,-565.11
2021-02-05,-450.86
2021-02-06,0.0
2021-02-07,0.0
2021-02-08,-306.0
2021-02-09,-237.8
